Lyopholized in Dextranol; Stored 33 days at room temperature,
043 20190401 RT DexOL 33d001:10_UV,
ml, mAU
77.29,0.07
77.42,0.06
77.56,0.06
77.69,0.07
77.82,0.03
77.96,0.07
78.09,0.04
78.22,0.02
78.35,0.04
78.49,0.04
78.62,0.02
78.75,0.06
78.89,0.02
79.02,0.02
79.15,0.04
79.29,0.05
79.42,0.02
79.55,0.04
79.69,-0.01
79.82,0.04
79.95,0.03
80.09,0.00
80.22,0.00
80.35,0.06
80.49,0.00
80.62,-0.01
80.75,-0.02
80.89,-0.05
81.02,-0.05
81.15,0.07
81.29,-0.02
81.42,-0.04
81.55,0.07
81.69,-0.06
81.82,-0.04
81.95,0.04
82.09,-0.05
82.22,-0.04
82.35,0.03
82.49,-0.09
82.62,-0.01
82.75,0.09
82.89,-0.14
83.02,-0.04
83.15,-0.10
83.29,-0.09
83.42,-0.02
83.55,-0.15
83.69,-0.08
83.82,-0.01
83.95,-0.13
84.08,-0.11
84.22,0.01
84.35,-0.15
84.48,-0.07
84.62,-0.03
84.75,-0.12
84.88,-0.07
85.02,-0.07
85.15,-0.15
85.28,-0.07
85.42,-0.08
85.55,-0.12
85.68,-0.08
85.82,-0.07
85.95,-0.11
86.08,-0.07
86.22,-0.08
86.35,-0.07
86.48,-0.08
86.62,-0.03
86.75,-0.09
86.88,-0.07
87.02,-0.06
87.15,-0.11
87.28,-0.06
87.42,-0.05
87.55,-0.10
87.68,-0.04
87.82,-0.08
87.95,-0.10
88.08,-0.03
88.22,-0.06
88.35,-0.09
88.48,-0.04
88.62,-0.03
88.75,-0.09
88.88,-0.04
89.02,-0.07
89.15,-0.08
89.28,-0.04
89.42,-0.09
89.55,-0.06
89.68,-0.05
89.81,-0.08
89.95,-0.05
90.08,-0.04
90.21,-0.05
90.35,-0.03
90.48,-0.05
90.61,-0.04
90.75,-0.06
90.88,-0.04
91.01,-0.03
91.15,-0.06
91.28,-0.06
91.41,-0.06
91.55,-0.05
91.68,-0.06
91.81,-0.06
91.95,-0.05
92.08,0.14
92.21,-0.04
92.35,-0.11
92.48,-0.07
92.61,-0.05
92.75,-0.07
92.88,-0.07
93.01,0.01
93.15,-0.10
93.28,-0.03
93.41,-0.04
93.55,-0.05
93.68,-0.06
93.81,0.00
93.95,-0.09
94.08,-0.02
94.21,-0.03
94.35,-0.04
94.48,-0.05
94.61,0.01
94.75,-0.07
94.88,-0.07
95.01,-0.01
95.15,-0.07
95.28,-0.10
95.41,-0.03
95.54,-0.05
95.68,-0.08
95.81,-0.07
95.94,-0.09
96.08,-0.09
96.21,-0.08
96.34,-0.09
96.48,-0.09
96.61,-0.05
96.74,-0.09
96.88,-0.09
97.01,-0.09
97.14,-0.05
97.28,-0.15
97.41,-0.10
97.54,-0.08
97.68,-0.10
97.81,-0.12
97.94,-0.07
98.08,-0.11
98.21,-0.13
98.34,-0.07
98.48,-0.12
98.61,-0.10
98.74,-0.08
98.88,-0.14
99.01,-0.09
99.14,-0.12
99.28,-0.14
99.41,-0.08
99.54,-0.12
99.68,-0.15
99.81,-0.08
99.94,-0.15
100.08,-0.13
100.21,-0.11
100.34,-0.11
100.48,-0.14
100.61,-0.08
100.74,-0.11
100.88,-0.13
101.01,-0.06
101.14,-0.14
101.27,-0.14
101.41,0.03
101.54,-0.23
101.67,-0.08
101.81,-0.13
101.94,-0.14
102.07,-0.07
102.21,-0.10
102.34,-0.13
102.47,-0.07
102.61,-0.10
102.74,-0.13
102.87,-0.05
103.01,-0.10
103.14,-0.10
103.27,-0.06
103.41,-0.07
103.54,-0.12
103.67,-0.05
103.81,-0.10
103.94,-0.12
104.07,-0.07
104.21,-0.12
104.34,-0.12
104.47,-0.04
104.61,-0.13
104.74,-0.11
104.87,-0.03
105.01,-0.12
105.14,-0.05
105.27,-0.03
105.41,-0.10
105.54,-0.05
105.67,-0.05
105.81,-0.09
105.94,-0.05
106.07,-0.05
106.21,-0.09
106.34,-0.05
106.47,-0.02
106.61,-0.08
106.74,-0.07
106.87,-0.03
107.00,-0.08
107.14,-0.06
107.27,-0.06
107.40,-0.05
107.54,-0.03
107.67,-0.04
107.80,-0.05
107.94,-0.03
108.07,0.01
108.20,-0.06
108.34,-0.04
108.47,-0.01
108.60,-0.07
108.74,-0.03
108.87,0.02
109.00,-0.05
109.14,-0.02
109.27,-0.01
109.40,-0.06
109.54,0.02
109.67,-0.01
109.80,-0.02
109.94,0.03
110.07,0.01
110.20,0.00
110.34,0.02
110.47,0.01
110.60,0.05
110.74,0.22
110.87,-0.01
111.00,0.02
111.14,-0.03
111.27,0.04
111.40,0.04
111.54,0.00
111.67,0.08
111.80,0.06
111.94,0.02
112.07,0.03
112.20,0.04
112.34,0.02
112.47,0.12
112.60,0.07
112.74,0.09
112.87,0.11
113.00,0.04
113.13,0.11
113.27,0.13
113.40,0.10
113.53,0.13
113.67,0.13
113.80,0.07
113.93,0.13
114.07,0.11
114.20,0.10
114.33,0.08
114.47,0.12
114.60,0.11
114.73,0.09
114.87,0.06
115.00,0.10
115.13,0.04
115.27,0.08
115.40,0.05
115.53,0.04
115.67,0.04
115.80,0.08
115.93,0.01
116.07,0.06
116.20,0.06
116.33,0.03
116.47,0.02
116.60,0.05
116.73,0.00
116.87,0.02
117.00,0.04
117.13,0.03
117.27,0.02
117.40,0.02
117.53,-0.02
117.67,0.00
117.80,0.03
117.93,-0.02
118.07,-0.03
118.20,-0.03
118.33,-0.05
118.47,-0.01
118.60,0.01
118.73,-0.04
118.86,-0.04
119.00,0.05
119.13,-0.08
119.26,-0.04
119.40,0.01
119.53,-0.09
119.66,-0.02
119.80,0.01
119.93,-0.08
120.06,0.14
120.20,-0.08
120.33,-0.11
120.46,-0.04
120.60,-0.09
120.73,-0.05
120.86,-0.01
121.00,-0.06
121.13,-0.03
121.26,-0.03
121.40,-0.08
121.53,-0.01
121.66,-0.01
121.80,-0.08
121.93,0.00
122.06,-0.05
122.20,-0.07
122.33,0.00
122.46,-0.04
122.60,-0.09
122.73,-0.03
122.86,-0.08
123.00,-0.09
123.13,-0.05
123.26,-0.07
123.40,-0.07
123.53,-0.06
123.66,-0.07
123.80,-0.09
123.93,-0.07
124.06,-0.06
124.20,-0.15
124.33,-0.07
124.46,-0.10
124.59,-0.13
124.73,-0.11
