Lyopholized in Dextran; Stored 30 days at 45$^\circ$C,
043 Dextran 45C day 30001:10_UV,
ml, mAU
88.62,-0.19
88.75,-0.22
88.88,-0.19
89.02,-0.18
89.15,-0.19
89.28,-0.20
89.42,-0.24
89.55,-0.19
89.68,-0.23
89.81,-0.21
89.95,-0.19
90.08,-0.20
90.21,-0.19
90.35,-0.14
90.48,-0.19
90.61,-0.15
90.75,-0.17
90.88,-0.19
91.01,-0.15
91.15,-0.18
91.28,-0.20
91.41,-0.19
91.55,-0.18
91.68,-0.22
91.81,-0.21
91.95,-0.15
92.08,-0.21
92.21,-0.23
92.35,-0.19
92.48,-0.24
92.61,-0.23
92.75,-0.20
92.88,-0.25
93.01,-0.19
93.15,-0.16
93.28,-0.25
93.41,-0.24
93.55,-0.17
93.68,-0.27
93.81,-0.26
93.95,-0.18
94.08,-0.25
94.21,-0.20
94.35,-0.19
94.48,-0.28
94.61,-0.04
94.75,-0.19
94.88,-0.28
95.01,-0.23
95.15,-0.32
95.28,-0.27
95.41,-0.23
95.54,-0.31
95.68,-0.22
95.81,-0.23
95.94,-0.28
96.08,-0.24
96.21,-0.24
96.34,-0.29
96.48,-0.22
96.61,-0.25
96.74,-0.31
96.88,-0.24
97.01,-0.25
97.14,-0.27
97.28,-0.24
97.41,-0.23
97.54,-0.30
97.68,-0.24
97.81,-0.26
97.94,-0.30
98.08,-0.23
98.21,-0.26
98.34,-0.21
98.48,-0.23
98.61,-0.26
98.74,-0.26
98.88,-0.22
99.01,-0.28
99.14,-0.29
99.28,-0.24
99.41,-0.25
99.54,-0.28
99.68,-0.23
99.81,-0.29
99.94,-0.29
100.08,-0.21
100.21,-0.29
100.34,-0.26
100.48,-0.21
100.61,-0.31
100.74,-0.25
100.88,-0.25
101.01,-0.27
101.14,-0.29
101.27,-0.27
101.41,-0.31
101.54,-0.28
101.67,-0.27
101.81,-0.30
101.94,-0.29
102.07,-0.30
102.21,-0.29
102.34,-0.29
102.47,-0.28
102.61,-0.29
102.74,-0.27
102.87,-0.27
103.01,-0.28
103.14,-0.27
103.27,-0.28
103.41,-0.28
103.54,-0.30
103.67,-0.27
103.81,-0.32
103.94,-0.17
104.07,-0.07
104.21,-0.31
104.34,-0.34
104.47,-0.29
104.61,-0.26
104.74,-0.34
104.87,-0.28
105.01,-0.27
105.14,-0.28
105.27,-0.29
105.41,-0.23
105.54,-0.28
105.67,-0.26
105.81,-0.23
105.94,-0.30
106.07,-0.25
106.21,-0.22
106.34,-0.28
106.47,-0.24
106.61,-0.22
106.74,-0.28
106.87,-0.25
107.00,-0.24
107.14,-0.27
107.27,-0.25
107.40,-0.30
107.54,-0.26
107.67,-0.25
107.80,-0.25
107.94,-0.23
108.07,-0.23
108.20,-0.25
108.34,-0.27
108.47,-0.20
108.60,-0.22
108.74,-0.19
108.87,-0.24
109.00,-0.22
109.14,-0.19
109.27,-0.22
109.40,-0.20
109.54,-0.14
109.67,-0.21
109.80,-0.15
109.94,-0.15
110.07,-0.16
110.20,-0.12
110.34,-0.14
110.47,-0.15
110.60,-0.08
110.74,-0.14
110.87,-0.12
111.00,-0.07
111.14,-0.10
111.27,-0.09
111.40,-0.05
111.54,-0.11
111.67,-0.08
111.80,0.00
111.94,-0.07
112.07,-0.06
112.20,0.04
112.34,-0.06
112.47,-0.03
112.60,0.06
112.74,-0.05
112.87,0.01
113.00,0.02
113.13,-0.02
113.27,0.02
113.40,0.14
113.53,-0.06
113.67,0.02
113.80,0.00
113.93,-0.02
114.07,0.03
114.20,0.00
114.33,0.02
114.47,0.07
114.60,0.01
114.73,-0.01
114.87,0.07
115.00,-0.03
115.13,-0.01
115.27,0.07
115.40,-0.07
115.53,-0.04
115.67,0.02
115.80,-0.07
115.93,-0.01
116.07,0.00
116.20,-0.08
116.33,-0.05
116.47,-0.02
116.60,-0.11
116.73,-0.04
116.87,-0.04
117.00,-0.13
117.13,-0.06
117.27,-0.10
117.40,-0.12
117.53,-0.07
117.67,-0.12
117.80,-0.15
117.93,-0.09
118.07,-0.13
118.20,-0.11
118.33,-0.12
118.47,-0.12
118.60,-0.11
118.73,-0.07
118.86,-0.09
119.00,-0.11
119.13,-0.09
119.26,-0.07
119.40,-0.09
119.53,-0.04
119.66,-0.06
119.80,-0.07
119.93,0.02
120.06,0.01
120.20,0.02
120.33,0.08
120.46,0.07
120.60,0.07
120.73,0.12
120.86,0.11
121.00,0.13
121.13,0.15
121.26,0.14
121.40,0.13
121.53,0.15
121.66,0.13
121.80,0.11
121.93,0.15
122.06,0.15
122.20,0.15
122.33,0.12
122.46,0.09
122.60,0.14
122.73,0.31
122.86,0.09
123.00,0.06
123.13,0.05
123.26,0.09
123.40,0.01
123.53,-0.01
123.66,0.06
123.80,-0.05
123.93,-0.02
124.06,0.01
124.20,-0.05
124.33,-0.03
124.46,-0.03
124.59,-0.13
124.73,-0.03
